[2026-04-02T21:34:22.618Z] Spawning ./Simulator/build/grblHAL_sim -p 23000
[2026-04-02T21:34:22.624Z] PID 82034
[2026-04-02T21:34:36.245Z] sim→ws 1B: \n
[2026-04-02T21:34:36.301Z] ws→sim 1B: ?
[2026-04-02T21:34:36.346Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.346Z] sim→ws 1B: \n
[2026-04-02T21:34:36.400Z] ws→sim 1B: ?
[2026-04-02T21:34:36.446Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.446Z] sim→ws 1B: \n
[2026-04-02T21:34:36.500Z] ws→sim 1B: ?
[2026-04-02T21:34:36.546Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.546Z] sim→ws 1B: \n
[2026-04-02T21:34:36.600Z] ws→sim 1B: ?
[2026-04-02T21:34:36.642Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.642Z] sim→ws 1B: \n
[2026-04-02T21:34:36.700Z] ws→sim 1B: ?
[2026-04-02T21:34:36.744Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:36.744Z] sim→ws 1B: \n
[2026-04-02T21:34:36.800Z] ws→sim 1B: ?
[2026-04-02T21:34:36.846Z] sim→ws 64B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|Ov:100,100,100>\r
[2026-04-02T21:34:36.846Z] sim→ws 1B: \n
[2026-04-02T21:34:36.900Z] ws→sim 1B: ?
[2026-04-02T21:34:36.946Z] sim→ws 71B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0|WCO:0.000,0.000,0.000>\r
[2026-04-02T21:34:36.946Z] sim→ws 1B: \n
[2026-04-02T21:34:37.001Z] ws→sim 1B: ?
[2026-04-02T21:34:37.046Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:37.046Z] sim→ws 1B: \n
[2026-04-02T21:34:37.100Z] ws→sim 1B: ?
[2026-04-02T21:34:37.146Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:37.146Z] sim→ws 1B: \n
[2026-04-02T21:34:37.200Z] ws→sim 1B: ?
[2026-04-02T21:34:37.246Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:37.246Z] sim→ws 1B: \n
[2026-04-02T21:34:37.300Z] ws→sim 1B: ?
[2026-04-02T21:34:37.342Z] sim→ws 49B: <Idle|MPos:0.000,0.000,0.000|Bf:100,1023|FS:0,0>\r
[2026-04-02T21:34:37.342Z] sim→ws 1B: \n
[2026-04-02T21:34:37.400Z] ws→sim 1B: ?
